concept,symbol
Gene_1289,COL5A1
Gene_1290,COL5A2
Gene_1291,COL6A1
Gene_1292,COL6A2
Gene_1293,COL6A3
Gene_1294,COL7A1
Gene_1295,COL8A1
Gene_1296,COL8A2
Gene_1297,COL9A1
Gene_1298,COL9A2
Gene_1299,COL9A3
Gene_1300,COL10A1
Gene_1301,COL11A1
Gene_1302,COL11A2
Gene_1303,COL12A1
Gene_1305,COL13A1
Gene_1306,COL15A1
Gene_1307,COL16A1
Gene_1308,COL17A1
Gene_1310,COL19A1
Gene_1311,COMP
Gene_1312,COMT
Gene_1314,COPA
Gene_1315,COPB1
Gene_1316,KLF6
Gene_1317,SLC31A1
Gene_1318,SLC31A2
Gene_1325,CORT
Gene_1326,MAP3K8
Gene_1327,COX4I1
Gene_1329,COX5B
Gene_1337,COX6A1
Gene_1339,COX6A2
Gene_1340,COX6B1
Gene_1345,COX6C
Gene_1346,COX7A1
Gene_1347,COX7A2
Gene_1349,COX7B
Gene_1350,COX7C
Gene_1351,COX8A
Gene_1352,COX10
Gene_1353,COX11
Gene_1355,COX15
Gene_1356,CP
Gene_1357,CPA1
Gene_1358,CPA2
Gene_1359,CPA3
Gene_1360,CPB1
Gene_1361,CPB2
Gene_1362,CPD
Gene_1363,CPE
Gene_1364,CLDN4
Gene_1365,CLDN3
Gene_1366,CLDN7
Gene_1368,CPM
Gene_1369,CPN1
Gene_1370,CPN2
Gene_1371,CPOX
Gene_1373,CPS1
Gene_1374,CPT1A
Gene_1375,CPT1B
Gene_1376,CPT2
Gene_1378,CR1
Gene_1379,CR1L
Gene_1380,CR2
Gene_1381,CRABP1
Gene_1382,CRABP2
Gene_1384,CRAT
Gene_1385,CREB1
Gene_1386,ATF2
Gene_1387,CREBBP
Gene_1388,ATF6B
Gene_1389,CREBL2
Gene_1390,CREM
Gene_1392,CRH
Gene_1393,CRHBP
Gene_1394,CRHR1
Gene_1395,CRHR2
Gene_1396,CRIP1
Gene_1397,CRIP2
Gene_1398,CRK
Gene_1399,CRKL
Gene_1400,CRMP1
Gene_1401,CRP
Gene_1404,HAPLN1
Gene_1406,CRX
Gene_1407,CRY1
Gene_1408,CRY2
Gene_1409,CRYAA
Gene_1410,CRYAB
Gene_1411,CRYBA1
Gene_1412,CRYBA2
Gene_1413,CRYBA4
Gene_1414,CRYBB1
Gene_1415,CRYBB2
Gene_1417,CRYBB3
Gene_1418,CRYGA
Gene_1419,CRYGB
Gene_1420,CRYGC
Gene_1421,CRYGD
Gene_1427,CRYGS
Gene_1428,CRYM
Gene_1429,CRYZ
Gene_1431,CS
Gene_1432,MAPK14
Gene_1434,CSE1L
Gene_1435,CSF1
Gene_1436,CSF1R
Gene_1437,CSF2
Gene_1438,CSF2RA
Gene_1439,CSF2RB
Gene_1440,CSF3
Gene_1441,CSF3R
Gene_1442,CSH1
Gene_1443,CSH2
Gene_1444,CSHL1
Gene_1445,CSK
Gene_1446,CSN1S1
Gene_1447,CSN2
Gene_1448,CSN3
Gene_1452,CSNK1A1
Gene_1453,CSNK1D
Gene_1454,CSNK1E
Gene_1455,CSNK1G2
Gene_1456,CSNK1G3
Gene_1457,CSNK2A1
Gene_1459,CSNK2A2
Gene_1460,CSNK2B
Gene_1462,VCAN
Gene_1463,NCAN
Gene_1464,CSPG4
Gene_1465,CSRP1
Gene_1466,CSRP2
Gene_1468,SLC25A10
Gene_1469,CST1
Gene_1470,CST2
Gene_1471,CST3
Gene_1472,CST4
Gene_1473,CST5
Gene_1474,CST6
Gene_1475,CSTA
Gene_1476,CSTB
Gene_1477,CSTF1
Gene_1478,CSTF2
Gene_1479,CSTF3
Gene_1482,NKX2-5
Gene_1485,CTAG1B
Gene_1486,CTBS
Gene_1487,CTBP1
Gene_1488,CTBP2
Gene_1489,CTF1
Gene_1490,CCN2
Gene_1491,CTH
Gene_1493,CTLA4
Gene_1495,CTNNA1
Gene_1496,CTNNA2
Gene_1497,CTNS
Gene_1499,CTNNB1
Gene_1500,CTNND1
Gene_1501,CTNND2
Gene_1503,CTPS1
Gene_1504,CTRB1
Gene_1506,CTRL
Gene_1508,CTSB
Gene_1509,CTSD
Gene_1510,CTSE
Gene_1511,CTSG
Gene_1512,CTSH
Gene_1513,CTSK
Gene_1514,CTSL
Gene_1515,CTSV
Gene_1519,CTSO
Gene_1520,CTSS
Gene_1521,CTSW
Gene_1522,CTSZ
Gene_1523,CUX1
Gene_1524,CX3CR1
Gene_1525,CXADR
Gene_1527,TEX28
Gene_1528,CYB5A
Gene_1534,CYB561
Gene_1535,CYBA
Gene_1536,CYBB
Gene_1537,CYC1
Gene_1538,CYLC1
Gene_1539,CYLC2
Gene_1540,CYLD
Gene_1543,CYP1A1
Gene_1544,CYP1A2
Gene_1545,CYP1B1
Gene_1548,CYP2A6
Gene_1549,CYP2A7
Gene_1551,CYP3A7
